Tag,Text
receipt,"the aiml store 1284 somewhere ro poway, california 92129 02/13/2022 12 fintie soneing galaw tab a 1 $24.8 parrot zik 2.0 wireless noise ’ 1 828114 wireless bluetooth 1 $74.96 headohories, wireless sports subtotal $80.8 7 =.0a tax 7 . 7600 265.244 $24, 78a total $086 . 244 xte00 . amex charge $955 . 244 aid aggoo1e6eeaze3 anex credit auth code ~ (6 s883 some promotions may reduce the refund value of items 2riiagceeigodociee ioi cacseaqocoeeigiooe, wo feedback! take quick survey enter chance to win $260 store gift card . go myfakestore . com/win ” . . * s wimers monthly cashier john doe store 123! ~ pos 008 . trangact ion 2520 7 sunday, february 13,2022 1228 am"
receipt,"the aiml store 1234 somewhere rd . poway, california 92129 02/18/2022 1228 am! hoare 9098.162381829981~230981 granda lucys freezedried = 1 990.65 grainfree pet; stabilo hoody 2in1 colored} $19.31 pencils, chicozy life cotten linen 1 $23.94 sasare subtotal $133.90 t = ca tax 7 . 7500 142 . 943 $10 . 043 total 3143 . 903 o64) visa charge 3143 . 943 aid 000066687 1602 visa credit auth code wee some promotions may reduce the refund value of items 20 icca ih aoi iti, fe feedback! teke quick survey enter chance to win $250 store gift card . go myfakestore . com/win * 5 winners monthly * soiree iiia iia iiia cashier john doe store 123 pos 008 transact ion2629 sunday, february 12, 2022 1228 am"
receipt,"the aiml store 1234 somewhere ro poway, california 92129 82/18/2022 1228 am beneue ipad mini 3 2 1 $25 . 49 ipad mini 2 case, ipad 1 $2.54 kickraft bookcase 1 $175.6 reading nook subtotal $224.0 t = oa tax 7 . 7600 262.614 817.624 total $252 . 614 s697 diner charge 262.814 aid a0000759664300 diner debit auth code 064200 some promotions may reduce the refund valle of {tems sepp eeecoioaeoogobrocedeooordoocooe we feedback! take quick survey enter . chance to hin $250 store gift card . go lyfakestore . com/win . * s winners monthi * soeodeeioiocioiddodo ict iia aoa cashier john doe store 123 pos 003 transact ion2529 sunday, february 18, 2022 1228 am"
invoice,"anycompany supplies inc. 703 damon course east floton md 196754303 phone (858) 5550101 bill to lijuan 346 garfield field, south major vermont 51013 li . juanexample.com date aug 05, 2019 invoice #980822117 customer id 3111 due date aug 20, 2019 description amount belkin screenforce tempered glass screen $35.99 hogwarts wooden steamer trunk $114.47 total $150.46 other comments total payment due 30 days if paying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
bank statement,"page 1o0f5 03/02/2022 dc . 1090001004290 gi anycompany llc 999999999 16769 3 c 001 11s 66.002 jorge souza 13422 diane rapids, new rooseveltside, il 676089698 your consolidated statement contact (858) lll0101 for 03/02/2022 example.com (858) 5550101 do digital banking bank leave home . check account balances, make transfers, pay bills deposit checks mobile device . if enrolled digital banking, lakes minute gel started today example.com/u . example bank, member fdic . to learn, visit example.com/abcxy z . 2020 anycompany llc ifyou traveling usa concems accessing account traveling, contact branch banker call 858lll0101 summary accounts account number balance) _ details on 001447867547 10,648.45 paget total checking money market savings accounts $10,648.45 7 savings . 144786754736 9,210.02 page 3 total savings accounts $9,210.02 (total savi gs 2000s teeta es checking money market savings accounts checking 001447867547 account summary your previous bala checks ‘ deposits, credits your balanc /17/2020 $10,648.45 average posted balance statement cycle $3,776.96 checks date check #amount (s) check #date check #amount (8) 05/26 401 _ 00 ~965025 6 185 450.00 total checks — indicates skip sequential check numbers item page 1 1 0000667"
bank statement,"page 1ofs 03/02/2022 4090001004290 gib anycompany banking services 999999999 16769 3 c001 11 s 66.002 jane doe 5104 edison freeway, south alfonsotown, ri 49237 your consolidated statement contact for 03/02/2022 3 ee & eect do digital banking bank leave home . check account balances, make transfers, pay bills deposit checks mobile device . if enrolled digital banking, lakes minute gel started today example.com/u example bank, member fdic . to learn, visit example.com/abcxyz . 2020 anycompany banking services . if traveling usa concerns accessing account traveling, contact branch banker call 858lll0101 summary accounts account number — ___balance ($) __ details on 001734004599 43,519.50 page 1 total checking money market savings accounts $13,519.50 savings _ _ 17340045 936 8,290.82 page 3 total savings accounts $8,290.82 (total savin gs 2000s ener checking money market savings accounts checking 001734004599 account summary your previous bala 03/02/2022 $13,519.50 average posted balance statement cycle $13,161.00 checks date check #amount ($) amount (s $) date check #amount ($) 0.00 = page 1 1 0000667"
receipt,"the aiml store 1234 somewhere rd poway, california 92129 02/19/2022 1228 am lauer trouetuaemoonnest oem 9838192981829381~230981 the chork chopsticks fork 1 $25.17 bodum milk frother, latteo 1 $26.68 milk yellow beeswax bees wax 1 . $12.23 organic subtotal $74.16 t= oh tax 7.7600 72.711 95.561 total 979.711 . 37270 diner charee $1.7 . aid ng00179781245 diner credit ~ auth code 05125 some promotions may reduce the refund value of (tems seek iii iki ioi aa ria ii iaai iii we feedback! take quick survey enter chance jo win $260 store gift card . go myfakestore . com/win * 5 winners monthi * soe iori ioi roi iir irie cashier jom doe store 123 pos ob transact ion2529 sunday, february 18, 2002 1228 a"
receipt,"the ainl store 1234 somewhere rd poway, california 92129; 02/13/2022 1228 am sne eaa soriken universal 3in1 1 $29 . 48 clipon lens 75 cake topper 75th 1 $6.34 subtotal wel j = oa tax 7.7500 70.757 sac? total $70 . 757 x12) amex charge $70.77 . aid 0000777447828 amex oredit auth code 67229 some promotions may reduce . the refund value of items ferc iai iiie ier iii ath we feedback! take quick survey enter chance to win $250 store gift card . go tor myfakestore . com/win 5 winners . month * oooo ri ih itnt cashier john doe store 123 pos 008 transact ion 2529 sunday, february 18, 2022 1228 am"
receipt,"the aiml store ""1284 somewhere rd poway, california 92129 02/18/2022 1228 . am ecornell ae . 9838182381029381230981 proform 14.0 ce elliptical 1 $1194.68 rolg2660 rolodex nestable 1 » $20.96 rolled subtotal $1,223.90 t = ca tax 7.7800 $91,799 131.7800 oo total $1,315 . 70 0961 amex charge $1318 . 780 aid s0007217 1042 amex debit auth code 00a some promotions may . reduce the refund . value of items leo io ciockiioioo ioc, _ we feedback! take quick survey enter chance . to win.a $250 store gift card . go myfakestore . comwin * s winners monthiy® fone reekiiideordioeoonodocoieeigorooe cashier jon doe store 123 pos o03 trangact ion #2528 sunday, february 18, 2022 . 1228 . am"
invoice,"anycompany manufacturing inc. suite 604 300 murazik stravenue new meredithburgh hi 45470 phone (858) 5550101 bill to mateo jackson 154 steuber fort, lake julianside wyoming 83598 mateo.jacksonexample.com date sep 06, 2020 _ invoice #95332931k customer id 6028 due date sep 21, 2020 description amount aretop 4gb usb 2.0 flash $58.33 amd fd8350frhkbox fx8350 fxseries $182.08 sayhi eya25 smart home automatic $90.36 pampers swaddlers sensitive disposable diapers $40.63 total $371.40 other comments total payment due 30 days if paying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
address proof,"affidavit of residence state of county of i,, born; aged duly sworn, depose attest 1. lam resident city county, state 2 . my address 3. fulltime resident date 4 . the reside aforementioned address attest length residency . name dob relationship me b . name dob relationship me c. name dob relationship me affiant subscribed sworn day 20 (notary public), county . my commission expires 20 www.businessformtemplate.com"
receipt,"the aiml store 1234 somewhere ro poway, california 92129 02/13/2022 12128 am weunernerag outer ale 9838162381629281~230981 shark rotator proféessioral 1 $268.02 liftaway upr ight greenies pill pockets soft 1 $15.83 deg gnc pro performance anp 4 $79.40 amol ified ‘ subtotal $360.34 t = ca tax 7 . 7500 387 . 266 $27 . 025 total $907 . 968 7600 visa . charbe $387 . 66 aid ap000121082006 visa credit auth code 62906 some promotions may reduce . the refund value of items rice riso ioc isa ioir it we feedback! take quick survey enter chance to win $250 store gift card . go _uyfakestore . com/win * 5 winners monthl * oeic iir aiha aix ii iis iir iir cashier jofn doe store 123 pos 008 transact ion 2620 sunday, february 18, 2002 1228 am"
invoice,"anycompany hardwares llc 29723 bayer heights west leonfurt mi 46375 phone (858) 5550101 bill to mateo jackson 16144 jamaal isle, west rondastad florida 67196 mateo.jacksonexample.com date jun 08, 2021 invoice #499733607 customer id 5984 due date jun 23, 2021 description amount vr headset glasses virtual reality $29.69 wd se 6tb datacenter hard $334.39 total $364.08 other comments total payment due 30 days ¢ if paying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
bank statement,"page 1 ofs 03/02/2022 dc 1090001004290 gi anycompany bank 999999999 16769 3 c001 11 s 66002 arnav desai 949 klein stravenue, west ollie, la 969321539 your consolidated statement contact for 03/02/2022 ey exer . fan cs) sorot do digital banki bank leave home . check account balances, make transfers, pay bills deposit checks mobile device . if enrolled digital banking, lakes minute gel started today example.com/u . example bank, member fdic . to learn, visit example.com/abcxy z . 2020 anycompany bank . traveling usa concerns accessing account traveling, contact branch banker call 858lll0101 summary accounts account number account nami balance (s) ____ details on checking 000541039918 5,451.80 page 1 tails on “ total checking . money market savings accounts $5,451.80 _ savings 054103991836 19,257.02 page3 total savings accounts $19, checking money market savings accounts checking 000541039918 account summary . average posted balance statement cycle $17,751.17 9 * indicates skip sequential check numbers item totalchecks = ss—i (‘ ié ‘ c; * ‘ s $7023 page 1 1 0000667"
invoice,"anycompany hardwares llc 9507 marylin shore east hisakostad 1d 59118 phone (858) 5550101 bill to arnav desai 700 feest junction, north kyle arkansas 79724 arnav.desai example.com date jan 08, 2020 invoice #389078972 customer id 5731 due date jan 23, 2020 description amount jexon usb otg connection kit $13.29 iphone 5 nonslip protective case $54.45 total $67.74 other comments total payment due 30 days if paying check, include invoice number check questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
invoice,"anycompany hardwares llc date jan 31, 2018 7492 gary freeway invoice #669766998 schillerburgh ky 538792107 customer id 5568 phone (858) 5550101 due date feb 15, 2018 bill to mateo jackson 674 reina gardens, boyerview idaho 466286599 mateo.jacksonexample.com description amount lego superheroes marvel's antman 76039 $104.66 total $104.66 other comments total payment due 30 days if paying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
receipt,"the aiml store 1234 somewhere ro poway, california 92129 02/13/2022 1228 am aer apoueutuuuerutasl aee ""9938182381029381~230961 arttoframes . 12x12 inch brown 1 $54.5 glucosamine ds stage 2 dos} $31.54 brainwavz hengja the 1 7.1 headphone subtotal $118.00 t = ca tax 7 . 7800 121.572 gb . 482 total $121 . 672 x6 181 visa charge $121 . 672 aid 40000168 1192 — vasa credit auth code 112 some promotions may reduce! the refund valle of items orinoco coico iai ioi fe feedback! take quick survey enter chance to win $250 store gift card . go kyfakestore . com/win * 5 winners monthl * eero ere odio iaai ii cashier john doe store 123 pos 008 trangact ion 2629 sunday, february 13, 2022 1228 am"
address proof,"date 230207 place chennai to, deutsche bank, sub letter address proof respected sir/madam, this certify mr. p. panchabakesan working quantum medpro solutions network administrator residing address no . 37, valluvar street, arumbakkam, chennai — 600 106 thanks & regards, for quantum medpro solutions pvt ltd., hr . corporate office 35/16, lind floor, giri road, tnages, chennai 600 017, ph 91 44 28345163, fax 91 44 28345162, email infogmp url www.qmp"
invoice,"anycompany hardwares llc date sep 16, 2019 suite 960 9731 amiee stravenue invoice #379308511 port darrellville wa 12465 customer id 8640 phone (858) 5550101 due date oct 04, 2019 bill to arnav desai 12021 o'reilly stravenue, kilbackmouth utah 76227 arnav.desaiexample.com description amount downtown pet supply himalayan yak $34.33 total $34.33 other comments total payment due 30 days if paying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
invoice,"anycompany retail services llc 3871 frami park north keshiaville wv 21380 phone (858) 5550101 bill to shirley rodriguez 1248 chana harbor, lake jonahbury kansas 701373017 shirley.rodriguezexample.com date may 21, 2019 invoice #749599596 customer id 3306 due date jun 05, 2019 description amount guess how much love $36.1 transformers alien machine 72 $101.82 chic home zarah 10 piece $190.65 3 packs] iphone 4/4s cable, $19.36 foam mace chain with spike $13.7 total $361.63 other comments * total payment due 30 days if paying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
bank statement,"page 1 5 03/02/2022 1090001004290 gis anycompany llc 999999999 16769 3 c001 11 s 66002 nikki wolf 429 ondricka lights, port lanette, la 338527661 your consolidated statement contact foroanaanz2 renee eel do digital banking bank leave home . check account balances, make transfers, pay bills deposit checks mobile device . if enrolled digital banking, lakes minute gel started today . com/u example bank, member fdic . to learn, visit example.com/abcxyz 2020 anycompany llc if traveling usa concems accessing account traveling, contact branch banker call 858lll0101 summary accounts account name ___aggount number balance ($) __ details on checking 004612 6,941.23 page 1 total checking money market savings acc $6,941.23 savings . 461 299228536 8,61 4.15 — total savings accounts $8,614.15 3 checking money market savings accounts m= checking 004612992285 account summary $14,677.93 . 3 1.27 __ #7,685.25 = $6,941.23 average posted balance statement cycle $7,232.36 checks date check #amount ($) amount (s $) date check #amount (s) 0526 1401 ~450.00 0 _ 404.39 06/0 ~ 985026 — _ 0 indicates skip sequential check numbers item total checks = $701.39 = page 1 1 0000667"
employment proof,"sample employment verification letter (please printed company letterhead) date] united states embassy nonimmigrant visa unit re employment verification beneficiary] dear sir/madam this letter serves confirm beneficiary] remains currently employed fulltime basis, pursuant terms his/her approved visa petition . the duties responsibilities job remain described original letter accompanying approved visa petition . we forward rapid readmission beneficiary] united states resume employment company, respectfully request kindly extend due courtesies . please feel free contact office require information . you contact immigration counsel, jackson & hertogs llp, (415) 9864559 . sincerely, company representative's]"
bank statement,"page 1 ofs 03/02/2022 dc 1090001004290 ges anycompany finance ltd 999999999 16769 3 c001 11s 66 002 mateo jackson 1485 stracke walk, stoltenbergville, mt 374 42 your consolidated statement contact roraanaro do digital banking bank leave home . check account balances, make transfers, pay bills deposit checks mobile device . if enrolled digital banking, lakes minute gel started today . com/u example bank, member fdic . to learn, visit example.com/abcxyz 2020 anycompany finance ltd ifyou traveling usa concems accessing account traveling, contact branch banker call 858lll0104 summary accounts account name account number balance () __ details on . checking 15,718.26 page1 total “ checking money market savings $15,718.26 — savings. . 133526841136 11,826.83 page 3 total ‘ savings accounts $44,826 83 checking money market savings accounts = checking 001335268411 account summary deposits . cre interes ~4,322.61 your balance 06/17/2020 = $15,718.26 average posted balance statement cycle $11,254.09 checks date amount (s) date check #amount (8) date __ check #amount (8) 05726 ~~ 450.00 ~~ 965025 101.39 06/09 0 rs item ‘ total checks — indicates skip sequential = page 1 1 0000667"
receipt,"the aiml store 1284 somewhere rd poway, california 92129 02/13/2022 1228 am au lecauaedaerooaa epona oha 9899102381029981~230981 hom! cable sft hom! 1 $22.11 sonimart replacement 1 926 . 89 toothorush heads . 4 powerbot pbio21 qi enabled 1 $7.24 hireless! subtotal 975.84 t = ca tax 7 . 7600 81, 628 b68 total, ° $81 . 628 x472 diner charge $31 . 528 aid a0000083263.498 diner debit auth code obe498 some promotions may reduce the refund value of tens . soreirooeoo co oeiooeoo odeo iki, fe feedback! take quick survey enter chance! to win $250 store gift card . go yfakestore . com/win * 8 winners monthi * 20 beenereoiooooeooco de odooooocdoee cashier john doe store 123 pos 008 transact ion 2520 sunday, february 18, 2022 1228 am"
bank statement,"page 1 ofs _ 03/02/2022 dc — 1090001004290 gi anycompany financial group 999999999 16769 3 c 001 11 s 66002 paulo santos . 4190 marylynn causeway, heathcotefurt, id 23119 your consolidated statement contact 858) lll0101 for 03/02/2022 by cemtccom bey ia58) 5550101 do digital banking bank leave home . check account balances, make transfers, pay bills deposit checks mobile device . if enrolled digital banking, lakes minute gel started today example.com/u . example bank, member fdic . to learn, visit example.com/abcxyz . 2020 anycompany financial group if traveling usa concerns accessing account traveling, contact branch banker call 858lll0101 summary accounts account name . account number ___balance (($) _ details on checking 005278099679 10,137.64 page 1 total checking money market savings accounts $10,137.64 7 savings 527809967936 14; 500.11 _page 3 total savings accounts $14,500.11 (total savin gs 2000s acne eee, checking money market savings accounts checking 005278099679 account summary your previous balance $10,137.64 average posted balance statement cycle $9,576.20 checks date check #amount (8) date check #amount (s) amount (8) 05/26 401 “ soe5025 4 * indicates skip sequential check numbers item = page 1 1 0000667"
receipt,"the aiml store 1284 somewhere rd poway, california 92129 02/13/2022 1228 am; easyace mini portable 1 $20 . 44 bluetooth 4.1 iphone 7/8 case, hz bigtree 1 naturehise maximum care time 1 release probiotics subtotal 905.01 t= ca tax 7 . 7500 102 . 126 $7 . 126 7 total $102 . 136 6180 diner charge $102 . 136 aid a0000782265563 diner debit auth code ob556s ‘ some promotions may reduce the refund value of items ore coico igor oocooi irie fle feedback! {take quick survey enter chanos to win $250 store gift card . go byfakestore . com/win * winners month * soa qreocire hoodoo oie idea cashier john doe store 123 pos 003 transact ion 2520 1 sunday, february 13, 2022 1228 aw"
receipt,"the aiml store 1284 somewhere ro poway, california 92129 02/18/2022 1228 am aa tronsmart usb g.to micro . 1 $16.51 proraso shaving cream, 1 $22.97 refreshing lebd series 4 col tectibie 1 $3.65 mini figure subtotal 962.33 t = ca tax 7 . 7500 67.005 94.675 total $67.05 x1678 diner charge $67 . 006 aid 400004 10255833 . diner debit auth code 05563 some promotions may reduce the; refund value of items 2reriiooco coool iec ohi oo fe feedback! take quick survey enter chance to win $260 store gift card . go yfakestore . com/win * winners monthi * cashier john doe store 123 pos 003 trangact ion 2629 sunday, february 12, 2022 1228 am"
bank statement,"page 10f5 03/02/2022 dc 1090001004290 gis anycompany llc 999999999 16769 3 c.001 11 s 66002 wang xiulan 706 waters isle, maragaretville, in 720554435 your consolidated statement contact for 03/02/2022 ey exam bey 322) 010 do digital banking bank leave home . check account balances, make transfers, pay bills deposit checks mobile device . if enrolled digital banking, lakes minute gel started today example.com/u . example bank, member fdic . to learn, visit example.com/abcxyz . 2020 anycompany llc if traveling usa concerns accessing account traveling, contact branch banker call 858lll0101 summary accounts account number balance ($) details . on . 006385374473 16,210.83 page 1 total checking savings accounts $16, 210.83 savings 638537447336 16,996.17 page 3 total savings accounts _ $16,996 checking money market savings accounts checking 006385374473 account summary ir previous balance 03/02/2022 your balance 06/17/2020 = $16,210.83 average posted balance statement cycle $4,311.74 checks date check #amount (s) date check #date check #amount ($) 526 _ 605 * 965025 06/09 985026 “ indicates skip sequential check numbers lem ” total checks = page 1 1 0000667"
receipt,"the ainl store 1284 somewhere rd poway, california 92129 02/18/2022 1226 am guarantee ‘ 9e38102381829301~230981 guees how nuch love j $36.1 univeral iphone 7 plus 5.6 1 $24.3) ‘ subtotal 960.41 . t= ca tax 7.7500 64 941 34.531 total $64 . 941 6607 mastercard charge $64 . 941 aid apncos0e299460 mastercard debit auth code (69460 some promotions may reduce the refund value of items icici iiia ion itnt fe feedback! take quick survey enter chance to win $250 store gift card . go myfakestore . com/win winners monthly® ooo iacocca i iiit, cashier john doe store 123 pos 008 transact ion 2529 sunday, february 13, 2022 1228 am"
receipt,brary debating society ecg payment recount yor ended 3 deere 27 3 528 nay offeetpees postageandstatosey
receipt,"the aiml store 1234 somewhere ro poway, california 92129 92/19/2022 1228 am elar enmu ance '9530102381029361290981 miles kinbal! sage twillo bar . 1 $43 . 17; boxed nug kit nucgissyh j $457.78 ‘ single ‘ subtotal $600.6 t = ca tax 7 . 7600 598 . 621 997.571 total, 9698 . 521 9749 wastercard . charge $538 . 621 aid aq00087575 1273 wastercard debit auth code 61273 some promotions may reduce the refund value of items foi ii iir doha ik iis oia iii we feedback! take quick survey enter chance to win $250 store gift card . go vyfakestore . com/win 5 winners monthiy® rocio iiia ido fine cashier john doe store 123 pos 003 tranéact 1on2629 sunday, february 18, 2022 122 am"
